"token","type","uniq","age_group","dialect","gender","operating_system","input_method","trial","session"
"x","initial","0","18-30","mandarin","female","mac","apple","1","1"
"ia","final","1","18-30","mandarin","female","mac","apple","1","1"
"m","initial","2","18-30","mandarin","female","mac","apple","1","1"
"a","final","3","18-30","mandarin","female","mac","apple","1","1"
"_","selection","4","18-30","mandarin","female","mac","apple","1","1"
"y","initial","5","18-30","mandarin","female","mac","apple","1","1"
"in","final","6","18-30","mandarin","female","mac","apple","1","1"
"j","initial","7","18-30","mandarin","female","mac","apple","1","1"
"un","final","8","18-30","mandarin","female","mac","apple","1","1"
"j","initial","9","18-30","mandarin","female","mac","apple","1","1"
"iu","final","10","18-30","mandarin","female","mac","apple","1","1"
"_","selection","11","18-30","mandarin","female","mac","apple","1","1"
"w","initial","12","18-30","mandarin","female","mac","apple","1","1"
"en","final","13","18-30","mandarin","female","mac","apple","1","1"
"j","initial","14","18-30","mandarin","female","mac","apple","1","1"
"un","final","15","18-30","mandarin","female","mac","apple","1","1"
"h","initial","16","18-30","mandarin","female","mac","apple","1","1"
"e","final","17","18-30","mandarin","female","mac","apple","1","1"
"s","initial","18","18-30","mandarin","female","mac","apple","1","1"
"uo","final","19","18-30","mandarin","female","mac","apple","1","1"
"zh","initial","20","18-30","mandarin","female","mac","apple","1","1"
"i","final","21","18-30","mandarin","female","mac","apple","1","1"
"_","selection","22","18-30","mandarin","female","mac","apple","1","1"
"zh","initial","23","18-30","mandarin","female","mac","apple","1","1"
"i","final","24","18-30","mandarin","female","mac","apple","1","1"
"_","selection","25","18-30","mandarin","female","mac","apple","1","1"
"j","initial","26","18-30","mandarin","female","mac","apple","1","1"
"un","final","27","18-30","mandarin","female","mac","apple","1","1"
"y","initial","28","18-30","mandarin","female","mac","apple","1","1"
"an","final","29","18-30","mandarin","female","mac","apple","1","1"
"b","initial","30","18-30","mandarin","female","mac","apple","1","1"
"u","final","31","18-30","mandarin","female","mac","apple","1","1"
"d","initial","32","18-30","mandarin","female","mac","apple","1","1"
"e","final","33","18-30","mandarin","female","mac","apple","1","1"
"y","initial","34","18-30","mandarin","female","mac","apple","1","1"
"i","final","35","18-30","mandarin","female","mac","apple","1","1"
"_","selection","36","18-30","mandarin","female","mac","apple","1","1"
"g","initial","37","18-30","mandarin","female","mac","apple","1","1"
"ui","final","38","18-30","mandarin","female","mac","apple","1","1"
"w","initial","39","18-30","mandarin","female","mac","apple","1","1"
"o","final","40","18-30","mandarin","female","mac","apple","1","1"
"n","initial","41","18-30","mandarin","female","mac","apple","1","1"
"an","final","42","18-30","mandarin","female","mac","apple","1","1"
"sh","initial","43","18-30","mandarin","female","mac","apple","1","1"
"an","final","44","18-30","mandarin","female","mac","apple","1","1"
"_","selection","45","18-30","mandarin","female","mac","apple","1","1"
"sh","initial","46","18-30","mandarin","female","mac","apple","1","1"
"ui","final","47","18-30","mandarin","female","mac","apple","1","1"
"ch","initial","48","18-30","mandarin","female","mac","apple","1","1"
"ui","final","49","18-30","mandarin","female","mac","apple","1","1"
"_","selection","50","18-30","mandarin","female","mac","apple","1","1"
"d","initial","51","18-30","mandarin","female","mac","apple","1","1"
"an","final","52","18-30","mandarin","female","mac","apple","1","1"
"q","initial","53","18-30","mandarin","female","mac","apple","1","1"
"u","final","54","18-30","mandarin","female","mac","apple","1","1"
"m","initial","55","18-30","mandarin","female","mac","apple","1","1"
"o","final","56","18-30","mandarin","female","mac","apple","1","1"
"f","initial","57","18-30","mandarin","female","mac","apple","1","1"
"u","final","58","18-30","mandarin","female","mac","apple","1","1"
"w","initial","59","18-30","mandarin","female","mac","apple","1","1"
"en","final","60","18-30","mandarin","female","mac","apple","1","1"
"_","selection","61","18-30","mandarin","female","mac","apple","1","1"
"b","initial","62","18-30","mandarin","female","mac","apple","1","1"
"ai","final","63","18-30","mandarin","female","mac","apple","1","1"
"y","initial","64","18-30","mandarin","female","mac","apple","1","1"
"un","final","65","18-30","mandarin","female","mac","apple","1","1"
"w","initial","66","18-30","mandarin","female","mac","apple","1","1"
"u","final","67","18-30","mandarin","female","mac","apple","1","1"
"j","initial","68","18-30","mandarin","female","mac","apple","1","1"
"in","final","69","18-30","mandarin","female","mac","apple","1","1"
"sh","initial","70","18-30","mandarin","female","mac","apple","1","1"
"i","final","71","18-30","mandarin","female","mac","apple","1","1"
"_","selection","72","18-30","mandarin","female","mac","apple","1","1"
,"1"
