,Trial_Name,Trial_ID,Trial_SESSION,Trial_Trial,Trial_Text,Keylog_CLEAN,editor,operating_system,age_group,DIALECT,GENDER,CharacterType,TrialDate,token,uniq,Segment,text_seg
1,tang_session1_trial2,1,1,2,TangPoem,xia1ma1yinliao_*junz1*jiu1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,x,1,1,TangPoem_1
2,tang_session2_trial1,1,2,1,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,x,1,1,TangPoem_1
3,tang_session2_trial2,1,2,2,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,x,1,1,TangPoem_1
4,tang_session5_trial1,1,5,1,TangPoem,xiamayinjunjiu2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,x,1,1,TangPoem_1
5,tang_session6_trial1,1,6,1,TangPoem,xiamayinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,x,1,1,TangPoem_1
6,tang_session6_trial2,1,6,2,TangPoem,xiama1yinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,x,1,1,TangPoem_1
7,tang_session1_trial2,1,1,2,TangPoem,xia1ma1yinliao_*junz1*jiu1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,ia,2,1,TangPoem_1
8,tang_session2_trial1,1,2,1,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,ia,2,1,TangPoem_1
9,tang_session2_trial2,1,2,2,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,ia,2,1,TangPoem_1
10,tang_session5_trial1,1,5,1,TangPoem,xiamayinjunjiu2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,ia,2,1,TangPoem_1
11,tang_session6_trial1,1,6,1,TangPoem,xiamayinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,ia,2,1,TangPoem_1
12,tang_session6_trial2,1,6,2,TangPoem,xiama1yinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,ia,2,1,TangPoem_1
13,tang_session1_trial2,1,1,2,TangPoem,xia1ma1yinliao_*junz1*jiu1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,1,3,1,TangPoem_1
14,tang_session2_trial1,1,2,1,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,1,TangPoem_1
15,tang_session2_trial2,1,2,2,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,,,1,TangPoem_1
16,tang_session5_trial1,1,5,1,TangPoem,xiamayinjunjiu2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,,,1,TangPoem_1
17,tang_session6_trial1,1,6,1,TangPoem,xiamayinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,1,TangPoem_1
18,tang_session6_trial2,1,6,2,TangPoem,xiama1yinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,,,1,TangPoem_1
19,tang_session1_trial2,1,1,2,TangPoem,xia1ma1yinliao_*junz1*jiu1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,m,4,1,TangPoem_1
20,tang_session2_trial1,1,2,1,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,m,4,1,TangPoem_1
21,tang_session2_trial2,1,2,2,TangPoem,xiama_yinjunjiu_,Apple,MAC,24,Mandarin,F,Simplified,12/18/2014,m,4,1,TangPoem_1
22,tang_session5_trial1,1,5,1,TangPoem,xiamayinjunjiu2,Baidu,MAC,25,Hubei,F,Simplified,1/15/2015,m,4,1,TangPoem_1
23,tang_session6_trial1,1,6,1,TangPoem,xiamayinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,m,4,1,TangPoem_1
24,tang_session6_trial2,1,6,2,TangPoem,xiama1yinjunjiu1,Sougou,MAC,24,Mandarin,M,Simplified,1/15/2015,m,4,1,TangPoem_1
25,tang_session1_trial2,1,1,2,TangPoem,xia1ma1yinliao_*junz1*jiu1,Apple,MAC,23,Cantonese,F,Simplified,12/16/2014,a,5,1,TangPoem_1
